Timestamp,Temp,Feels Like,Humidity,Wind Speed,Condition,Description
2026-04-19 09:00:00,42.61,40.89,14,5.22,Clear,clear sky
2026-04-19 12:00:00,40.44,40.01,20,8.3,Clear,clear sky
2026-04-19 15:00:00,34.38,36.09,40,7.04,Clear,clear sky
2026-04-19 18:00:00,28.47,30.43,62,6.57,Clear,clear sky
2026-04-19 21:00:00,27.2,28.58,63,5.16,Clear,clear sky
2026-04-20 00:00:00,26.17,26.17,70,3.94,Clear,clear sky
2026-04-20 03:00:00,32.98,33.75,40,4.96,Clear,clear sky
2026-04-20 06:00:00,39.39,38.25,19,3.5,Clear,clear sky
2026-04-20 09:00:00,42.18,40.7,15,3.75,Clear,clear sky
2026-04-20 12:00:00,33.87,36.85,46,8.71,Clear,clear sky
2026-04-20 15:00:00,29.55,32.18,61,5.87,Clouds,scattered clouds
2026-04-20 18:00:00,28.39,31.29,69,6.18,Clouds,scattered clouds
2026-04-20 21:00:00,27.55,30.04,72,5.95,Clouds,overcast clouds
2026-04-21 00:00:00,26.72,29.21,81,4.25,Clouds,overcast clouds
2026-04-21 03:00:00,32.98,34.91,45,5.61,Clouds,broken clouds
2026-04-21 06:00:00,40.11,38.94,18,4.31,Clouds,scattered clouds
2026-04-21 09:00:00,42.84,40.82,13,4.24,Clear,clear sky
2026-04-21 12:00:00,35.07,37.65,41,8.52,Clear,clear sky
2026-04-21 15:00:00,29.37,33.35,69,6.55,Clouds,few clouds
2026-04-21 18:00:00,28.31,32.05,75,6.21,Clouds,few clouds
2026-04-21 21:00:00,27.35,30.09,76,5.18,Clouds,few clouds
2026-04-22 00:00:00,26.47,26.47,76,2.91,Clouds,few clouds
2026-04-22 03:00:00,32.21,34.03,47,1.18,Clear,clear sky
2026-04-22 06:00:00,38.95,38.46,22,0.57,Clear,clear sky
2026-04-22 09:00:00,41.75,41.56,19,4.8,Clouds,few clouds
2026-04-22 12:00:00,35.69,37.28,36,7.44,Clouds,scattered clouds
2026-04-22 15:00:00,30.1,31.88,54,5.27,Clear,clear sky
2026-04-22 18:00:00,28.73,31.33,65,6.05,Clear,clear sky
2026-04-22 21:00:00,27.71,29.55,65,4.9,Clouds,scattered clouds
2026-04-23 00:00:00,26.61,26.61,71,3.03,Clouds,scattered clouds
2026-04-23 03:00:00,33.58,34.72,40,4.0,Clear,clear sky
2026-04-23 06:00:00,39.98,38.76,18,3.11,Clear,clear sky
2026-04-23 09:00:00,42.96,42.1,16,4.34,Clear,clear sky
2026-04-23 12:00:00,36.06,38.25,37,7.93,Clear,clear sky
2026-04-23 15:00:00,29.92,32.88,61,6.53,Clear,clear sky
2026-04-23 18:00:00,29.02,31.88,65,6.25,Clear,clear sky
2026-04-23 21:00:00,28.22,29.66,59,4.14,Clear,clear sky
2026-04-24 00:00:00,26.73,28.41,70,2.57,Clear,clear sky
2026-04-24 03:00:00,33.73,34.73,39,4.5,Clear,clear sky
2026-04-24 06:00:00,40.17,39.31,19,3.71,Clear,clear sky
